game_time,self_name,other_name,relative_speed,
8.020,gopher/chassis_link,floor,0.000,
30.520,gopher/left_arm_robotiq_arg2f_base_link,Monitor Cart (4),0.711,
33.210,gopher/left_arm_robotiq_arg2f_base_link,Male Nurse(Clone),0.836,
33.520,gopher/right_arm_robotiq_arg2f_base_link,Male Nurse(Clone),1.282,
33.908,gopher/right_arm_gripper_left,Male Nurse(Clone),1.076,
34.420,gopher/right_arm_robotiq_arg2f_base_link,Male Nurse(Clone),0.987,
39.701,gopher/left_arm_robotiq_arg2f_base_link,Male Nurse(Clone),1.004,
40.020,gopher/left_arm_spherical_wrist_1_link,Male Nurse(Clone),1.347,
52.610,gopher/right_arm_gripper_left,Male Nurse(Clone),1.152,
53.020,gopher/right_arm_bracelet_link,Male Nurse(Clone),0.807,
53.410,gopher/right_arm_gripper_left,Male Nurse(Clone),0.261,
65.820,gopher/left_arm_forearm_link,Service Cart (7),1.425,
77.920,gopher/right_arm_gripper_right,Wooden Door - Open - 1200,1.248,
81.020,gopher/right_arm_forearm_link,Service Cart,1.302,
81.417,gopher/right_arm_spherical_wrist_1_link,Service Cart,0.218,
81
