game_time,self_name,other_name,relative_speed,
8.520,gopher/chassis_link,floor,0.000,
23.420,gopher/left_arm_forearm_link,Male Nurse(Clone),0.639,
38.920,gopher/right_arm_robotiq_arg2f_base_link,Male Nurse(Clone),0.990,
39.320,gopher/right_arm_robotiq_arg2f_base_link,Male Nurse(Clone),1.382,
39.620,gopher/right_arm_bracelet_link,Male Nurse(Clone),1.048,
40.120,gopher/right_arm_gripper_left,Male Nurse(Clone),0.062,
42.320,gopher/left_arm_forearm_link,Service Cart (7),0.596,
42.920,gopher/left_arm_half_arm_2_link,Service Cart (7),0.740,
43.302,gopher/left_arm_forearm_link,Service Cart (7),0.810,
58.120,gopher/right_arm_forearm_link,Service Cart,1.258,
62.320,gopher/right_arm_half_arm_1_link,Service Cart,1.099,
62.620,gopher/chassis_link,Service Cart,0.608,
67.407,gopher/right_arm_spherical_wrist_1_link,hospital_room_bed 15,0.514,
67.720,gopher/right_arm_spherical_wrist_1_link,hospital_room_bed 15,0.596,
71.307,gopher/right_arm_forearm_link,single_sofa 5,0.993,
73.617,gopher/right_arm_forearm_link,single_sofa 5,
