game_time,self_name,other_name,relative_speed,
8.060,gopher/chassis_link,floor,0.000,
42.480,gopher/right_arm_gripper_right,Wooden Door - Open - 1200,0.961,
43.280,gopher/right_arm_gripper_left,Hospital Handrail (2),1.595,
48.666,gopher/right_arm_gripper_right,Wooden Door - Open - 1200,0.827,
49.074,gopher/right_arm_spherical_wrist_1_link,Wooden Door - Open - 1200,1.027,
56.480,gopher/right_arm_gripper_right,Hospital Handrail (19),0.658,
56.880,gopher/right_arm_bracelet_link,Hospital Handrail (19),0.011,
91.580,gopher/right_arm_bracelet_link,Hospital Handrail (19),0.181,
92.180,gopher/right_arm_gripper_right,Hospital Handrail (19),0.721,
92.669,gopher/right_arm_robotiq_arg2f_base_link,IV Pole (5),0.697,
93.780,gopher/right_arm_forearm_link,Service Cart DEMO(Clone),0.687,
94.265,gopher/right_arm_forearm_link,Service Cart DEMO(Clone),0.613,
96.080,gopher/chassis_link,Service Cart DEMO(Clone),0.057,
96.380,gopher/chassis_link,Wheel Chair (3),0.395,
97.580,gopher/left_arm_forearm_link,Service Cart DEMO(Clone),0.507,
98.080,gopher/chassis_link,Service Cart DEMO(Clone),0.367,
98.580,gopher/chassis_link,Service Cart DEMO(Clone),0.810,
98.980,gopher/right_arm_robotiq_arg2f_base_link,Male Nurse(Clone),0.498,
99.880,gopher/chassis_link,Wheel Chair (3),1.393,
101.880,gopher/estop_link,Wheel Chair (3),0.371,
102.680,gopher/right_arm_gripper_left,Male Nurse(Clone),0.690,
103.968,gopher/chassis_link,Wheel Chair (3),0.266,
104.868,gopher/l_wheel_link,Wheel Chair (3),0.695,
107.580,gopher/left_arm_bracelet_link,IV Pole (5),0.693,
107.980,gopher/left_arm_forearm_link,Monitor Cart (3),0.168,
108.478,gopher/left_arm_gripper_left,IV Pole (5),0.995,
117.680,gopher/left_arm_gripper_left,Monitor Cart (3),0.263,
118.280,gopher/right_arm_gripper_left,Wooden Door - Open - 1050 (1),0.272,
118.680,gopher/left_arm_bracelet_link,IV Pole (5),0.438,
119.270,gopher/left_arm_gripper_left,Monitor Cart (3),0.434,
119.962,gopher/right_arm_gripper_left,Hospital Handrail (19),0.451,
120.780,gopher/left_arm_gripper_right,Monitor Cart (3),0.273,
149.880
